bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,sqft_living15,sqft_lot15,price,house_age
5,3.25,1.0,0,0,4,11,3070,1700,98005,3530,38917,1040000,42
3,2.0,1.0,0,0,4,7,1260,0,98034,1640,4745,325000,43
4,2.0,1.5,0,0,5,7,2250,500,98125,1510,7807,571000,99
4,2.5,2.0,0,0,3,8,2380,0,98038,2420,5000,360000,10
3,1.75,1.0,0,0,5,7,1090,700,98042,1940,50529,349000,50
4,4.0,2.0,0,0,4,10,2390,1040,98075,3240,35020,832500,29
4,1.75,1.0,0,0,3,7,880,880,98008,1680,7500,380000,59
3,1.0,1.0,0,0,3,7,1040,0,98116,890,5060,480000,74
3,1.0,1.0,0,0,4,7,910,500,98133,1130,5693,410000,59
4,2.5,2.0,0,0,3,10,3450,0,98010,3350,39750,720000,13
3,2.5,2.0,0,0,3,8,2350,0,98038,2350,5363,390000,12
4,2.5,2.0,0,0,3,7,1900,0,98038,1870,6405,360000,23
2,1.0,1.0,0,0,3,7,1010,1010,98118,1720,6720,355000,67
3,1.5,1.0,0,0,3,8,1680,0,98059,1850,8797,356000,51
3,1.0,1.0,0,0,3,6,960,0,98125,1570,7203,315000,63
3,1.5,2.0,0,0,3,9,1900,240,98119,2020,4800,940000,90
5,2.25,1.5,0,0,5,7,2660,0,98092,1590,8165,305000,54
3,3.25,2.0,0,0,3,9,1980,790,98056,1900,7349,461000,9
2,2.25,2.0,0,0,4,7,1610,0,98056,1950,2025,215000,36
2,1.75,2.0,0,0,3,7,765,265,98136,1030,1106,335000,9
4,2.5,2.0,0,0,3,7,1980,0,98023,1980,7510,243500,27
5,2.75,2.0,0,0,4,10,3520,0,98199,2520,6250,1100000,14
3,1.0,1.0,0,0,3,7,1200,0,98023,1350,10500,153000,53
3,1.5,1.0,0,0,3,8,1290,290,98117,1570,4500,430000,76
3,1.5,1.0,0,0,3,8,1290,290,98117,1570,4500,700000,76
4,2.5,1.0,0,0,3,7,2390,910,98040,1950,6045,905000,69
3,1.75,1.0,0,0,3,7,1960,0,98032,1750,15616,247500,48
4,1.5,1.0,0,0,4,7,1160,0,98023,1160,6400,199000,40
3,1.75,1.0,0,0,5,7,1210,600,98038,1650,135036,314000,35
3,2.5,2.0,0,2,3,9,2320,0,98045,2550,35065,437500,23
3,2.5,1.5,0,0,5,9,1270,800,98102,2200,4500,850830,105
3,2.0,1.5,0,0,4,7,1440,540,98117,1610,3478,555000,86
3,2.25,2.0,0,0,4,8,2190,0,98077,2570,47777,699950,32
3,2.5,2.0,0,0,3,8,2920,0,98004,2370,8113,1090000,65
3,1.0,1.0,0,0,3,7,1210,0,98058,1640,14910,290000,61
3,2.5,1.0,0,0,4,8,1460,880,98058,2250,8162,375000,37
3,1.0,1.5,0,0,4,7,1170,500,98117,1240,4005,460000,76
2,1.75,1.0,0,0,4,8,1240,0,98198,1270,4966,188500,30
4,2.5,2.0,0,0,4,10,3140,0,98077,2990,35001,680000,24
5,1.75,2.0,0,0,4,7,2030,0,98052,2500,9433,470000,73
4,2.5,2.0,0,0,3,8,2310,0,98027,1940,9636,597750,31
3,1.75,1.0,0,0,5,6,700,560,98103,1380,3536,570000,110
3,1.75,1.0,0,0,4,7,1160,380,98038,1540,11656,272500,35
3,1.75,1.0,0,2,3,7,1080,1000,98108,2090,5500,329950,44
4,2.5,2.0,0,3,3,9,2520,710,98001,2640,8517,480000,14
3,3.5,2.0,0,0,3,8,2780,1600,98117,1830,6350,740500,115
3,3.5,3.0,0,0,3,8,1590,0,98103,1620,3166,518500,5
2,1.0,1.0,0,0,4,6,880,0,98178,1190,6780,205425,70
4,2.0,1.0,0,0,3,6,1570,0,98168,1880,9000,171800,65
4,1.0,1.5,0,0,4,7,1610,0,98144,1610,4040,535000,90
3,2.5,1.0,0,2,3,8,1560,840,98177,2340,10856,660000,51
3,2.0,1.0,0,0,3,7,1450,0,98034,1580,9104,391500,28
2,1.0,1.0,0,0,3,6,770,0,98117,1710,6000,395000,62
4,1.75,1.5,0,0,5,7,1720,380,98118,1850,4400,445000,91
3,2.25,2.0,0,0,3,9,2910,0,98052,2700,13992,770000,25
4,2.75,1.5,0,0,3,8,1980,770,98004,3060,11275,1450000,101
3,2.25,1.0,0,2,3,8,1620,480,98178,2660,8712,445000,48
4,2.25,1.0,0,0,3,8,1360,800,98023,2090,8400,260000,37
5,3.5,2.0,0,0,5,7,1720,600,98103,1700,4960,822500,89
4,2.5,2.0,0,0,3,7,2070,0,98065,1970,3748,430000,11
3,1.75,1.0,0,0,4,7,1060,0,98092,1420,7680,212000,29
4,2.25,1.0,0,0,3,8,1440,570,98027,2060,9793,660500,29
3,3.5,1.5,0,0,3,9,2460,1490,98052,2480,88500,784000,26
3,2.5,2.0,0,0,3,8,1390,620,98029,1690,1662,453246,1
4,3.5,3.0,0,0,3,9,2140,0,98107,1540,2285,675000,10
3,1.75,1.0,0,0,4,7,1320,0,98003,1550,19265,199000,59
4,1.75,1.0,0,0,3,7,1010,1010,98003,1750,8140,220000,47
4,2.25,1.0,0,0,4,8,1340,1250,98028,1550,10436,452000,47
2,1.0,1.0,0,0,3,6,1190,0,98125,1060,5715,382500,34
3,2.25,3.0,0,0,3,8,1170,0,98107,1350,1310,519950,1
2,1.0,1.0,0,0,3,7,1110,0,98119,1170,3600,665000,90
5,2.5,1.0,0,0,4,8,1550,1270,98006,2820,9375,527700,47
3,1.0,1.0,0,0,4,7,1010,600,98058,1610,8579,205000,53
3,1.0,1.0,0,0,4,7,940,120,98133,1560,7940,420000,92
4,2.25,1.0,0,0,4,8,1380,650,98006,2230,8824,500000,54
4,2.5,2.0,0,0,4,9,3670,0,98077,2840,87991,921500,21
4,1.0,2.0,0,0,3,8,2370,180,98109,2200,4000,890000,110
2,2.5,2.0,0,0,3,7,2420,0,98027,1940,193842,430000,8
5,2.0,1.0,0,0,4,8,1130,1130,98032,1360,18000,258000,55
3,1.0,1.0,0,0,3,7,980,450,98103,1450,4599,511000,68
3,2.0,2.0,0,0,3,8,1360,0,98103,1500,3090,532170,25
3,1.0,1.5,0,0,3,7,1110,0,98107,1420,5000,560000,68
3,1.0,1.0,0,0,4,7,1250,0,98003,1680,8633,282950,61
4,3.25,2.0,0,3,3,12,3540,1640,98006,3160,9750,2250000,9
1,1.0,1.0,0,0,3,7,700,0,98115,1010,5100,350000,73
3,1.0,1.0,0,0,4,7,1180,0,98058,1190,7669,215000,48
5,3.5,2.0,0,0,3,9,2500,1460,98056,2640,13675,650000,19
4,2.75,1.0,0,0,3,8,1620,1020,98023,1980,7875,320000,48
3,2.0,1.5,0,0,3,7,1270,0,98022,1160,7198,247000,99
4,1.75,1.0,0,0,4,8,1760,0,98059,1730,11180,320000,47
5,2.25,1.0,0,0,3,7,1030,1030,98146,1010,11680,255000,53
3,1.75,1.0,0,0,3,7,1780,0,98034,1200,9660,438000,53
3,2.5,2.0,0,0,3,10,3400,0,98075,3400,12601,900000,15
3,2.75,1.0,0,0,3,7,1160,750,98034,1710,8152,441000,36
3,2.0,1.0,0,0,4,7,1010,1010,98027,2110,36590,420000,40
3,1.75,1.0,0,0,3,7,1180,400,98034,1640,7500,370000,39
2,1.75,1.0,0,0,5,5,700,640,98198,1830,9750,269950,66
4,2.5,2.0,0,0,3,9,2680,0,98006,2920,4500,807100,16
3,2.5,1.0,0,0,4,8,1610,1070,98034,2480,8750,653000,36
3,2.0,1.0,0,0,5,7,1370,0,98133,1770,7288,371500,51
3,1.75,1.0,0,0,3,7,1560,0,98166,1070,7920,284000,61
3,1.75,1.0,0,0,4,7,1670,490,98023,1930,7350,272000,37
3,1.5,1.5,0,0,3,7,1340,0,98133,1480,7940,313000,60
4,2.5,2.0,0,0,3,10,2570,1310,98033,3740,35230,917500,31
4,2.25,2.0,0,0,4,8,2590,0,98006,2260,8335,673000,35
3,2.5,2.0,0,0,3,8,820,300,98122,1590,1795,425000,7
5,2.75,1.0,0,0,3,7,1320,650,98144,1280,2150,399950,29
3,1.0,1.0,0,0,3,6,1220,0,98122,1200,4800,385000,114
3,1.5,1.0,0,2,4,7,1320,630,98022,1950,8941,269950,40
2,1.0,1.0,0,0,3,7,1060,290,98177,1540,8280,330000,66
3,2.5,2.0,0,0,3,7,1670,0,98030,1670,6183,260000,27
4,3.0,1.5,0,0,4,7,1680,700,98126,1410,5375,470000,90
4,3.0,2.0,0,0,5,7,2440,0,98034,2290,9600,589000,54
2,1.5,2.0,0,0,3,7,1050,0,98038,1050,3417,163500,19
4,2.75,2.0,0,0,3,9,2140,990,98052,2260,9984,835000,22
5,3.0,1.0,0,2,4,10,2090,2000,98033,2540,10270,1100000,29
4,1.75,1.0,0,0,4,8,1100,390,98023,2190,8910,269000,46
3,2.5,2.0,0,0,3,8,1900,0,98074,2030,8744,560000,28
4,1.0,1.5,0,0,4,6,1330,0,98103,1330,4400,615000,114
3,2.25,1.0,0,0,3,8,1430,800,98052,2230,9340,585188,40
3,1.75,1.0,0,0,3,7,1220,430,98034,1540,8400,305000,38
3,1.0,1.0,0,0,3,6,1190,0,98058,1230,7980,166950,56
3,2.5,1.0,0,0,4,8,2140,0,98040,2680,10083,799000,56
3,2.5,1.0,0,0,4,7,1420,760,98133,1900,7818,400000,53
3,1.0,1.0,0,0,3,7,1060,0,98155,1570,10228,230000,67
3,2.5,2.0,0,0,3,8,1690,0,98023,2550,5001,256883,12
4,2.0,1.5,0,0,5,7,1130,840,98108,1500,6480,423000,95
3,2.5,2.0,0,0,3,8,2150,0,98126,1750,2385,465000,8
3,2.5,2.0,0,0,3,7,1910,0,98024,2330,67268,440000,18
3,1.75,1.0,0,0,4,7,1350,0,98038,1560,50965,385000,46
3,1.0,1.0,0,0,4,6,860,0,98056,1300,9514,210000,72
3,2.5,2.0,0,0,3,8,1940,0,98042,2030,10450,297000,21
3,1.0,1.0,0,0,3,7,1010,0,98107,1680,5000,470000,63
3,1.5,1.0,0,0,4,7,900,400,98023,1430,7500,226500,39
3,1.0,1.0,0,0,4,6,910,0,98059,1400,8040,274250,53
4,1.75,1.0,0,0,4,9,1630,850,98040,2770,10744,840000,49
3,2.5,2.0,0,0,3,8,2440,0,98052,2750,4587,677900,5
3,1.0,1.0,0,0,3,7,1010,0,98116,1290,5000,425000,100
2,0.75,1.0,0,0,3,6,900,0,98166,1250,14280,180250,74
6,3.0,2.0,0,0,3,7,1600,700,98133,1560,1312,464000,95
4,2.25,2.0,0,0,3,8,1550,0,98038,1630,6397,320000,22
3,2.25,2.0,0,0,3,8,1060,210,98105,1160,1327,625504,1
4,2.5,1.0,0,0,3,9,2240,0,98074,2520,12368,592500,32
3,2.5,2.0,0,0,3,9,2714,0,98001,2590,18386,465000,10
4,2.75,2.0,0,0,3,8,1720,0,98118,2130,8700,477000,37
2,1.0,1.0,0,0,3,6,850,0,98168,1100,14459,280000,92
5,3.0,1.0,0,3,3,9,1870,1430,98040,3836,20953,1510000,58
3,2.5,2.0,0,0,3,8,2250,0,98146,1320,5390,445838,15
2,2.25,1.0,0,3,3,8,1950,1950,98144,2580,5184,1070000,68
2,1.5,1.0,0,0,4,8,1320,0,98177,2120,12040,467000,68
4,2.5,2.0,0,0,3,10,2760,0,98075,3070,8127,686000,16
3,2.0,1.0,0,0,3,7,1350,400,98198,1900,10125,279950,54
4,2.25,2.0,0,0,3,8,2330,0,98011,1910,10055,527000,28
3,2.25,1.0,0,0,4,8,1780,440,98030,2080,9583,325000,49
3,2.25,2.0,0,0,3,7,2020,0,98038,2020,8031,328000,21
3,2.25,1.0,0,0,5,7,1250,0,98146,1280,7392,390000,73
2,2.0,1.0,0,0,3,8,1510,0,98053,1640,6009,479950,10
4,2.25,1.0,0,0,4,7,1120,600,98023,1510,9753,264950,37
3,1.0,1.0,0,0,4,7,980,450,98031,1960,13068,235000,54
3,2.5,2.0,0,0,3,7,1480,0,98053,2250,4729,516500,11
2,1.75,2.0,1,4,3,7,1230,220,98166,2030,13193,655000,100
4,2.75,1.0,0,0,5,7,2280,0,98059,2280,15347,500000,55
6,2.75,1.0,0,0,3,8,1780,1160,98023,2120,8236,315000,37
2,1.0,1.0,0,0,3,6,1000,0,98024,1150,13702,213000,54
3,1.5,1.5,0,0,5,7,1620,860,98108,2090,4800,475000,68
5,4.0,2.0,0,0,3,10,3760,0,98033,3430,35096,1030000,32
3,2.0,1.0,0,0,5,7,1640,580,98010,2070,80100,416000,39
4,1.0,1.5,0,0,3,7,1670,300,98122,1510,4740,410000,111
3,3.5,2.0,0,0,3,10,3530,300,98077,2920,148539,800000,22
6,2.5,1.0,0,2,4,9,2350,2060,98003,2600,13988,472000,50
3,1.75,1.0,0,0,4,7,1430,0,98003,1190,8640,225000,47
2,1.0,1.0,0,0,3,6,830,0,98126,830,4960,210000,75
2,1.0,1.5,0,0,2,7,1430,0,98115,1450,3750,455000,90
3,1.0,1.0,0,0,4,6,1300,0,98002,1260,8316,225000,61
2,1.0,1.0,0,2,4,7,790,240,98103,1390,3060,480000,97
3,2.5,2.0,0,0,3,9,2740,0,98023,2570,10377,363000,25
4,2.5,1.0,1,4,3,9,1830,1820,98074,3120,18841,2400000,15
2,1.5,1.0,0,0,3,6,720,0,98106,1150,2566,181000,61
4,2.0,1.0,0,0,4,7,2010,0,98002,2010,7650,250000,39
3,1.75,1.0,0,0,4,6,770,790,98103,1390,3000,481000,97
3,2.0,1.0,0,0,4,7,1240,570,98032,1750,7209,260000,37
4,2.5,2.0,0,0,3,9,3360,0,98058,3060,6567,455000,14
3,2.25,2.0,0,0,3,8,1510,0,98045,1730,36224,415000,24
3,1.0,1.0,0,0,3,7,800,600,98118,1620,6331,349500,62
3,2.5,2.0,0,0,3,7,1730,0,98030,1630,6458,245000,28
2,2.0,1.5,0,2,5,7,1420,0,98115,1420,6816,592500,87
4,1.75,1.0,0,0,4,7,1180,1180,98106,1910,7620,385000,60
3,1.75,1.0,0,0,4,7,1200,380,98059,1550,10650,315000,41
3,1.0,1.0,0,0,3,7,1230,0,98045,1380,10098,255000,36
4,2.5,2.0,0,0,3,8,2460,0,98052,2990,5659,693000,9
3,1.0,1.5,0,0,3,8,1460,200,98112,1660,4400,780000,104
3,1.75,1.0,0,0,4,7,1270,0,98198,1600,8470,237000,55
3,2.25,2.0,0,0,3,10,1320,780,98074,2380,33450,525000,36
2,1.0,1.0,0,0,3,5,770,0,98144,1330,2580,425000,85
1,0.75,1.0,1,4,5,5,760,0,98070,1230,14267,369900,79
4,2.5,2.0,0,0,4,7,1700,0,98031,1950,7475,290000,27
3,1.0,1.0,0,0,3,7,1120,0,98106,1130,6350,285000,61
2,1.0,1.0,0,0,3,7,1070,0,98115,1320,4465,415000,78
3,2.5,1.0,0,0,3,8,1420,650,98023,2070,8250,272500,36
4,3.25,1.5,0,2,3,11,4750,300,98004,3890,20060,2900000,33
4,4.75,2.0,0,0,4,11,5310,0,98077,4180,47443,1370000,26
2,1.0,1.0,0,0,4,7,1040,0,98133,1440,7530,436000,76
3,1.0,1.0,0,0,4,7,1700,0,98003,1350,8164,210000,48
3,1.0,1.0,0,0,3,7,1300,0,98178,1320,7619,236000,54
3,1.75,1.0,0,0,3,7,580,500,98199,1440,2225,331000,61
3,2.5,2.0,0,0,3,8,2653,0,98031,2653,4927,365000,9
3,2.0,1.0,0,0,5,8,2290,0,98058,1660,10530,450000,55
4,2.75,2.0,0,0,3,9,2850,970,98028,1860,12136,770000,1
4,2.5,1.0,0,0,3,8,2210,0,98038,2670,49385,455000,18
3,1.75,1.0,0,0,3,6,1240,1150,98118,2020,6000,405000,107
4,1.75,1.0,0,0,4,7,1610,990,98031,1720,11088,304900,46
2,1.0,1.0,0,0,3,6,860,0,98178,1650,8775,170000,84
5,3.0,2.0,0,1,5,9,2630,1200,98122,3050,7556,2050000,110
4,2.5,2.0,0,0,3,9,3500,0,98053,3920,7864,780000,10
3,3.0,1.0,0,0,4,8,1740,680,98028,2570,13300,330000,27
4,2.5,2.0,0,0,3,9,2720,0,98030,2410,8100,370000,23
5,2.25,1.0,0,0,3,7,1850,650,98072,2300,9750,467000,36
3,1.75,1.0,0,0,3,7,1140,530,98034,1670,7320,405000,35
5,2.25,1.0,0,0,3,8,1450,1450,98006,2310,10300,675000,30
2,1.0,1.0,0,0,4,7,1140,500,98006,1520,13527,500000,61
4,2.5,2.0,0,0,4,7,1890,0,98166,2410,15256,389999,47
4,1.75,1.0,0,2,4,8,1780,1170,98034,2120,9600,630000,40
4,2.5,2.0,0,0,3,9,2160,0,98001,2280,9937,360000,23
4,3.0,2.0,0,0,3,8,2270,1010,98056,2320,11004,580000,29
3,2.0,2.0,0,3,5,8,1270,700,98126,2390,4166,550000,86
4,2.5,2.0,0,0,3,10,3360,0,98075,3150,11374,879000,21
3,2.0,1.0,0,0,3,7,1320,0,98042,1740,7316,265000,22
3,2.5,2.0,0,0,3,8,2650,0,98059,2400,7220,446500,25
3,1.5,1.0,0,0,3,7,1330,700,98108,2140,5592,404000,52
3,1.75,1.0,0,2,3,7,1090,500,98188,1630,9052,267500,58
4,5.0,1.0,1,4,3,10,2600,1950,98074,4550,19508,3080000,13
3,2.5,2.0,0,0,3,8,2440,0,98003,2510,7903,335000,17
3,2.5,1.0,0,0,4,7,970,970,98117,2190,7310,576000,67
3,2.5,2.0,0,0,3,8,2040,0,98038,2370,4590,208633,9
3,2.25,1.0,0,0,4,7,1120,1080,98166,1460,10139,315000,51
3,1.75,1.0,0,0,4,8,960,960,98112,1740,4000,725000,102
4,2.75,1.0,0,0,4,8,1400,400,98177,1800,8275,550000,50
4,2.25,2.0,0,0,3,8,2180,0,98074,2250,9781,610750,31
2,1.0,1.5,0,0,4,6,1010,0,98105,1460,5000,550700,107
4,2.75,2.0,0,0,5,8,2220,1100,98056,2720,8330,665000,55
4,2.5,1.5,0,2,5,8,1980,390,98144,2440,5750,834000,87
5,1.75,1.5,0,0,3,6,1660,0,98065,1660,78408,201000,100
5,2.5,2.0,0,4,5,10,3370,280,98119,2880,5400,2380000,94
4,3.25,1.0,0,3,3,11,2690,1600,98006,3860,11244,1380000,18
4,3.25,1.0,0,3,3,11,2690,1600,98006,3860,11244,1400000,18
4,2.25,1.0,0,0,3,8,1350,600,98058,2150,7350,305000,36
3,2.0,1.0,0,0,5,8,1720,870,98133,1570,8162,487000,67
3,2.5,1.0,0,0,4,8,1930,0,98042,2350,57500,390000,27
2,1.0,1.0,0,0,4,7,1170,300,98103,1570,3864,548000,99
4,1.0,1.0,0,0,3,6,800,0,98166,1310,8775,268750,72
5,2.75,2.0,0,0,3,9,3150,0,98052,1560,8384,819900,2
3,2.25,2.0,0,0,3,8,2030,0,98027,2660,17958,520000,31
3,2.0,1.0,0,0,3,7,1450,0,98001,1520,9518,230000,12
3,1.75,1.0,0,0,3,7,1510,0,98023,1510,9753,240000,46
2,1.0,1.0,0,0,3,6,960,280,98146,1820,7460,232000,93
2,1.0,1.0,0,0,3,6,960,280,98146,1820,7460,240500,93
3,2.5,2.0,0,0,3,9,3030,0,98077,3080,35781,274975,28
4,2.0,1.5,0,0,4,9,2050,0,98102,2320,5500,740000,93
3,1.0,1.0,0,0,2,7,1000,0,98166,1150,7600,186375,63
3,2.25,1.0,0,0,4,9,1590,780,98005,2500,10004,790000,38
4,3.5,2.0,0,0,3,9,1890,910,98105,2370,6120,880000,64
6,1.75,2.0,0,0,4,7,2240,0,98198,1590,7955,279000,60
3,2.0,1.0,0,2,3,8,1810,0,98022,1910,10450,295000,24
2,1.0,1.0,0,0,3,7,1070,0,98103,1710,5000,640000,91
4,2.0,2.0,0,0,5,9,2490,0,98040,2770,9525,940000,47
4,2.5,2.0,0,0,3,7,1960,0,98038,1800,5894,260000,12
3,2.75,1.0,0,0,3,9,1860,1070,98072,2580,11045,559900,11
4,2.0,1.5,0,0,5,7,1510,0,98103,1820,3750,791500,104
3,1.75,1.0,0,0,3,7,1420,0,98133,1740,8000,265000,61
3,1.75,1.0,0,0,3,7,1740,0,98178,880,78408,245000,61
4,1.75,2.0,0,0,4,7,2560,0,98052,2560,14764,485000,53
4,3.5,2.0,0,0,3,9,2420,620,98059,3470,8066,684000,5
3,1.75,1.0,0,0,3,8,1300,1200,98125,1580,8691,425000,58
4,1.75,1.0,0,0,4,6,1275,0,98070,1660,20000,309600,24
4,2.5,2.0,0,0,3,8,2580,0,98065,2380,5823,552250,13
4,1.0,1.0,0,0,3,6,1000,0,98178,1020,7138,165000,72
4,1.0,1.0,0,0,3,6,1000,0,98178,1020,7138,239900,72
2,1.0,1.0,0,0,4,6,1070,0,98059,1360,32156,320000,85
3,2.0,1.0,0,0,4,7,1390,0,98030,1720,12080,206600,28
4,1.75,1.0,0,0,3,7,1250,1250,98155,2040,8646,387000,42
1,0.75,1.0,0,0,3,4,560,0,98014,1300,19207,299000,48
4,2.75,2.0,0,0,3,9,2270,0,98040,2610,10180,855000,50
3,1.0,1.0,0,0,4,7,1300,600,98166,1940,14400,315000,61
2,1.0,1.0,0,2,5,7,790,200,98103,1930,3120,437500,108
4,1.5,1.0,0,0,4,7,1050,500,98001,1640,22654,252000,46
4,1.75,1.0,0,0,5,7,1100,1100,98118,1600,5766,375000,60
4,2.5,2.0,0,0,3,7,1910,0,98038,2010,5091,300000,10
4,1.0,1.5,0,0,4,7,1750,0,98006,1750,10530,420000,61
3,1.0,1.0,0,0,3,7,1330,0,98033,1340,17689,900000,87
3,2.5,2.0,0,2,3,9,1980,460,98116,1520,5750,679900,15
3,2.5,2.0,0,0,3,7,1640,0,98053,1580,28399,463000,23
5,2.5,2.0,0,0,4,9,2760,0,98059,2470,11340,380000,37
4,2.5,2.0,0,0,3,7,1820,0,98038,1820,8168,329500,21
3,2.5,1.0,0,0,3,8,1340,770,98033,2040,9363,604950,2
5,2.5,1.0,0,2,4,8,1640,1400,98006,2920,8800,795000,49
3,2.0,2.0,0,0,3,7,1840,0,98045,1380,44049,465000,21
4,2.5,2.0,0,0,3,9,2990,0,98166,2140,17449,673000,13
4,2.5,2.0,0,0,3,10,3520,0,98074,3400,21455,810000,24
4,2.75,1.0,0,0,4,8,1910,530,98075,2770,24361,785000,26
4,3.0,1.0,0,0,3,7,1370,720,98056,1810,7650,338000,29
3,2.25,2.0,0,0,3,7,1430,0,98056,1430,7220,280000,22
4,2.25,1.0,0,0,5,7,1100,1080,98133,1810,6929,315000,61
4,2.25,1.0,0,0,5,7,1100,1080,98133,1810,6929,530000,61
5,3.0,2.0,0,0,3,9,3450,0,98023,2860,9721,380000,11
